date,airline,flight_number,origin,destination,origin_country,destination_country,origin_region,destination_region,aircraft_type,passengers_affected,reason
2026-03-01,Air Canada,AI7740,London,Muscat,UK,Oman,Europe,Middle East,Boeing 787-9 Dreamliner,85,Airspace closure — NOTAM
2026-03-01,Air New Zealand,AI1260,Madrid,Dubai,Spain,UAE,Europe,Middle East,Boeing 787-10 Dreamliner,134,Crew safety — company policy
2026-03-01,Air India,AI5613,Kuala Lumpur,Dubai,Malaysia,UAE,Asia Pacific,Middle East,Airbus A380-800,232,Diplomatic advisory — do not fly
2026-03-01,China Eastern,CH101,Tehran,Beijing,Iran,China,Middle East,Asia Pacific,Boeing 787-9 Dreamliner,185,Crew duty-time exceedance after long reroutes
2026-03-01,WestJet,WE6012,Dubai,Zurich,UAE,Switzerland,Middle East,Europe,Airbus A350-900,238,Crew duty-time exceedance after long reroutes
2026-03-01,UPS Airlines,UP3570,London,Dubai,UK,UAE,Europe,Middle East,Boeing 787-9 Dreamliner,309,ATC flow restrictions — congestion
2026-03-01,Air China,AI4629,Casablanca,Paris,Morocco,France,Africa,Europe,Boeing 737 MAX 8,192,Crew safety — company policy
2026-03-02,China Southern,CH8464,Nairobi,Dubai,Kenya,UAE,Africa,Middle East,Airbus A380-800,207,Fuel supply disruption
2026-03-02,Air France,AI5770,Doha,Madrid,Qatar,Spain,Middle East,Europe,Boeing 787-9 Dreamliner,227,Security risk — conflict zone
2026-03-02,Ethiopian Airlines,ET9200,Helsinki,Dubai,Finland,UAE,Europe,Middle East,Airbus A330-300,100,Crew safety — company policy
2026-03-02,EgyptAir,EG9519,Los Angeles,Singapore,USA,Singapore,North America,Asia Pacific,Airbus A350-900,147,Government travel ban
2026-03-02,Azul Brazilian Airlines,AZ7052,Dubai,Paris,UAE,France,Middle East,Europe,Airbus A321neo,154,Crew duty-time exceedance after long reroutes
2026-03-02,Finnair,FI661,Tehran,Istanbul,Iran,Turkey,Middle East,Middle East,Boeing 777-300ER,430,Insurance restriction — war zone
2026-03-02,Korean Air,KO7314,London,Bahrain,UK,Bahrain,Europe,Middle East,Airbus A321neo,244,Insurance restriction — war zone
2026-03-02,Turkish Airlines,TU2141,Riyadh,New York,Saudi Arabia,USA,Middle East,North America,Boeing 737-800,436,Airspace closure — NOTAM
2026-03-02,Finnair,FI8969,Riyadh,Islamabad,Saudi Arabia,Pakistan,Middle East,South Asia,Airbus A380-800,91,Government travel ban
2026-03-02,United Airlines,UN8246,Doha,Mumbai,Qatar,India,Middle East,South Asia,Airbus A350-900,263,Diplomatic advisory — do not fly
2026-03-02,FedEx Express,FE3369,Cairo,Kuwait City,Egypt,Kuwait,North Africa,Middle East,Airbus A380-800,96,Crew duty-time exceedance after long reroutes
2026-03-02,SpiceJet,SP2954,Kuala Lumpur,London,Malaysia,UK,Asia Pacific,Europe,Airbus A320neo,181,Security risk — conflict zone
2026-03-02,Qantas,QA7649,Doha,New York,Qatar,USA,Middle East,North America,Airbus A380-800,258,Insurance restriction — war zone
2026-03-02,Air New Zealand,AI2084,Casablanca,Dubai,Morocco,UAE,Africa,Middle East,Airbus A330-300,398,ATC flow restrictions — congestion
2026-03-02,Southwest Airlines,SO6584,Addis Ababa,Dubai,Ethiopia,UAE,Africa,Middle East,Airbus A330-300,183,Fuel supply disruption
2026-03-02,Southwest Airlines,SO4989,Dubai,New York,UAE,USA,Middle East,North America,Airbus A330-300,94,Security risk — conflict zone
2026-03-02,SpiceJet,SP6020,London,Tokyo,UK,Japan,Europe,Asia Pacific,Airbus A380-800,441,ATC flow restrictions — congestion
2026-03-02,Delta Air Lines,DE9584,Madrid,Bogotá,Spain,Colombia,Europe,Latin America,Airbus A321neo,361,Crew safety — company policy
2026-03-02,Etihad Airways,ET2404,London,Kuwait City,UK,Kuwait,Europe,Middle East,Boeing 787-9 Dreamliner,354,Government travel ban
2026-03-02,Kuwait Airways,KU2079,Dubai,Warsaw,UAE,Poland,Middle East,Europe,Boeing 787-10 Dreamliner,217,Government travel ban
2026-03-02,Cathay Pacific,CA4735,London,Doha,UK,Qatar,Europe,Middle East,Boeing 737-800,225,ATC flow restrictions — congestion
2026-03-02,Avianca,AV7820,Singapore,Sydney,Singapore,Australia,Asia Pacific,Asia Pacific,Airbus A380-800,364,Temporary corridor suspension — safety bulletin
2026-03-03,Aeromexico,AE4580,Vancouver,Dubai,Canada,UAE,North America,Middle East,Boeing 787-9 Dreamliner,338,Insurance restriction — war zone
2026-03-03,Air France,AI311,Jakarta,Dubai,Indonesia,UAE,Asia Pacific,Middle East,Boeing 787-9 Dreamliner,410,Crew safety — company policy
2026-03-03,Kenya Airways,KE6315,Tehran,Beijing,Iran,China,Middle East,Asia Pacific,Boeing 777-200LR,405,Diplomatic advisory — do not fly
2026-03-03,KLM,KL2227,São Paulo,London,Brazil,UK,Latin America,Europe,Boeing 777-200LR,117,Crew duty-time exceedance after long reroutes
2026-03-03,Emirates,EM1478,Dubai,Amman,UAE,Jordan,Middle East,Middle East,Airbus A321neo,254,Security risk — conflict zone
2026-03-03,Azul Brazilian Airlines,AZ7354,Doha,Paris,Qatar,France,Middle East,Europe,Airbus A340-600,331,Airport closure — military activity
2026-03-03,Saudi Arabian Airlines,SA5742,Istanbul,Delhi,Turkey,India,Middle East,South Asia,Boeing 787-9 Dreamliner,292,Crew duty-time exceedance after long reroutes
2026-03-03,American Airlines,AM957,Bangkok,Dubai,Thailand,UAE,Asia Pacific,Middle East,Boeing 787-10 Dreamliner,386,Airspace closure — NOTAM
2026-03-03,TAP Air Portugal,TA9469,Doha,Shanghai,Qatar,China,Middle East,Asia Pacific,Airbus A340-600,379,Fuel supply disruption
2026-03-03,EgyptAir,EG4110,Dubai,New York,UAE,USA,Middle East,North America,Boeing 737-800,384,ATC flow restrictions — congestion
2026-03-03,easyJet,EA6152,Auckland,Singapore,New Zealand,Singapore,Asia Pacific,Asia Pacific,Boeing 787-9 Dreamliner,364,Crew safety — company policy
2026-03-03,Aeromexico,AE4694,Auckland,Dubai,New Zealand,UAE,Asia Pacific,Middle East,Boeing 777-300ER,167,Airspace closure — NOTAM
2026-03-03,Kenya Airways,KE6118,Auckland,Singapore,New Zealand,Singapore,Asia Pacific,Asia Pacific,Boeing 787-9 Dreamliner,446,Insurance restriction — war zone
2026-03-03,Etihad Airways,ET882,Doha,Addis Ababa,Qatar,Ethiopia,Middle East,Africa,Airbus A380-800,203,Airport closure — military activity
2026-03-03,LOT Polish Airlines,LO6989,Istanbul,Tehran,Turkey,Iran,Middle East,Middle East,Airbus A350-900,393,Insurance restriction — war zone
2026-03-03,flydubai,FL4723,Dubai,Istanbul,UAE,Turkey,Middle East,Middle East,Airbus A320neo,330,Diplomatic advisory — do not fly
2026-03-03,United Airlines,UN327,Amman,Dubai,Jordan,UAE,Middle East,Middle East,Airbus A350-900,141,Crew duty-time exceedance after long reroutes
2026-03-03,Mahan Air,MA9283,Sydney,Dubai,Australia,UAE,Asia Pacific,Middle East,Airbus A321neo,246,ATC flow restrictions — congestion
2026-03-03,Turkish Airlines,TU8798,Abu Dhabi,Washington,UAE,USA,Middle East,North America,Airbus A330-300,102,Temporary corridor suspension — safety bulletin
2026-03-03,Iran Air,IR345,Mumbai,Dubai,India,UAE,South Asia,Middle East,Airbus A320neo,135,ATC flow restrictions — congestion
2026-03-03,SAS,SA9677,London,Tokyo,UK,Japan,Europe,Asia Pacific,Boeing 737 MAX 8,413,ATC flow restrictions — congestion
2026-03-03,SpiceJet,SP852,Singapore,Auckland,Singapore,New Zealand,Asia Pacific,Asia Pacific,Airbus A320neo,302,Diplomatic advisory — do not fly
2026-03-03,WestJet,WE8530,Abu Dhabi,Washington,UAE,USA,Middle East,North America,Boeing 737 MAX 8,91,Temporary corridor suspension — safety bulletin
2026-03-03,Etihad Airways,ET1903,London,Beijing,UK,China,Europe,Asia Pacific,Boeing 777-300ER,438,Fuel supply disruption
2026-03-03,Ethiopian Airlines,ET2431,London,Bahrain,UK,Bahrain,Europe,Middle East,Boeing 777-300ER,378,ATC flow restrictions — congestion
2026-03-04,Finnair,FI2007,Dubai,Frankfurt,UAE,Germany,Middle East,Europe,Airbus A320neo,94,ATC flow restrictions — congestion
2026-03-04,Air France,AI4115,Doha,Seoul,Qatar,South Korea,Middle East,Asia Pacific,Airbus A321neo,121,Fuel supply disruption
2026-03-04,American Airlines,AM436,Doha,Madrid,Qatar,Spain,Middle East,Europe,Airbus A321neo,283,Airspace closure — NOTAM
2026-03-04,Korean Air,KO7795,Bahrain,Dubai,Bahrain,UAE,Middle East,Middle East,Boeing 777-200LR,172,Government travel ban
2026-03-04,flynas,FL6438,Dubai,Chicago,UAE,USA,Middle East,North America,Boeing 737-800,286,Government travel ban
2026-03-04,Singapore Airlines,SI6479,Los Angeles,London,USA,UK,North America,Europe,Airbus A340-600,252,Airport closure — military activity
2026-03-04,Gulf Air,GU7491,Dubai,São Paulo,UAE,Brazil,Middle East,Latin America,Boeing 787-9 Dreamliner,251,Temporary corridor suspension — safety bulletin
2026-03-04,Royal Air Maroc,RO9221,Shanghai,Doha,China,Qatar,Asia Pacific,Middle East,Boeing 787-10 Dreamliner,305,Crew safety — company policy
2026-03-04,Mahan Air,MA3014,Cairo,Riyadh,Egypt,Saudi Arabia,North Africa,Middle East,Airbus A330-300,406,Crew duty-time exceedance after long reroutes
2026-03-04,Garuda Indonesia,GA652,Riyadh,London,Saudi Arabia,UK,Middle East,Europe,Airbus A340-600,164,Fuel supply disruption
2026-03-04,Iberia,IB1822,Dubai,Amman,UAE,Jordan,Middle East,Middle East,Boeing 777-200LR,127,Insurance restriction — war zone
2026-03-04,Japan Airlines,JA5498,Doha,Paris,Qatar,France,Middle East,Europe,Boeing 777-200LR,154,ATC flow restrictions — congestion
2026-03-04,Asiana Airlines,AS2825,Vancouver,Dubai,Canada,UAE,North America,Middle East,Boeing 737 MAX 8,142,Crew duty-time exceedance after long reroutes
2026-03-04,Azul Brazilian Airlines,AZ9690,Doha,Toronto,Qatar,Canada,Middle East,North America,Airbus A350-900,258,Airport closure — military activity
2026-03-04,Jazeera Airways,JA4634,Bahrain,Dubai,Bahrain,UAE,Middle East,Middle East,Boeing 787-10 Dreamliner,91,Crew duty-time exceedance after long reroutes
2026-03-04,Malaysia Airlines,MA4342,Paris,Shanghai,France,China,Europe,Asia Pacific,Airbus A321neo,97,Crew duty-time exceedance after long reroutes
2026-03-04,Kuwait Airways,KU8650,Dubai,Vancouver,UAE,Canada,Middle East,North America,Airbus A330-300,105,Security risk — conflict zone
2026-03-04,SpiceJet,SP6019,Dubai,New York,UAE,USA,Middle East,North America,Airbus A340-600,267,Fuel supply disruption
2026-03-05,Lufthansa,LU1362,Dubai,Istanbul,UAE,Turkey,Middle East,Middle East,Airbus A320neo,280,Security risk — conflict zone
2026-03-05,SpiceJet,SP4838,Kuwait City,London,Kuwait,UK,Middle East,Europe,Boeing 777-300ER,96,Fuel supply disruption
2026-03-05,Qantas,QA1371,Riyadh,London,Saudi Arabia,UK,Middle East,Europe,Boeing 787-10 Dreamliner,393,Security risk — conflict zone
2026-03-05,Cathay Pacific,CA1855,London,Bahrain,UK,Bahrain,Europe,Middle East,Boeing 787-10 Dreamliner,264,Diplomatic advisory — do not fly
2026-03-05,Iran Air,IR6643,Sydney,Dubai,Australia,UAE,Asia Pacific,Middle East,Airbus A330-300,356,Fuel supply disruption
2026-03-05,Pakistan International Airlines,PA5855,Stockholm,Dubai,Sweden,UAE,Europe,Middle East,Boeing 787-10 Dreamliner,128,Crew safety — company policy
2026-03-05,KLM,KL6227,Los Angeles,Singapore,USA,Singapore,North America,Asia Pacific,Airbus A380-800,395,Insurance restriction — war zone
2026-03-05,Air New Zealand,AI3932,Moscow,Doha,Russia,Qatar,Europe,Middle East,Airbus A321neo,356,Insurance restriction — war zone
2026-03-05,American Airlines,AM3242,London,Abu Dhabi,UK,UAE,Europe,Middle East,Airbus A340-600,408,Crew duty-time exceedance after long reroutes
2026-03-05,Air India,AI2605,Shanghai,Dubai,China,UAE,Asia Pacific,Middle East,Airbus A330-300,150,Diplomatic advisory — do not fly
2026-03-05,Ryanair,RY4269,Mexico City,London,Mexico,UK,Latin America,Europe,Boeing 777-300ER,417,Temporary corridor suspension — safety bulletin
2026-03-05,Kenya Airways,KE7946,Doha,Shanghai,Qatar,China,Middle East,Asia Pacific,Airbus A330-300,88,Insurance restriction — war zone
2026-03-05,LOT Polish Airlines,LO2785,Amman,Dubai,Jordan,UAE,Middle East,Middle East,Boeing 777-300ER,139,Temporary corridor suspension — safety bulletin
2026-03-05,Mahan Air,MA6171,Dubai,Karachi,UAE,Pakistan,Middle East,South Asia,Boeing 777-300ER,310,Fuel supply disruption
2026-03-05,Azul Brazilian Airlines,AZ5760,Dubai,Johannesburg,UAE,South Africa,Middle East,Africa,Airbus A320neo,98,Airport closure — military activity
2026-03-05,easyJet,EA7813,Helsinki,Dubai,Finland,UAE,Europe,Middle East,Airbus A321neo,433,Fuel supply disruption
2026-03-05,British Airways,BR7627,Singapore,London,Singapore,UK,Asia Pacific,Europe,Airbus A330-300,257,Crew safety — company policy
2026-03-05,Air Canada,AI1667,Dubai,Jakarta,UAE,Indonesia,Middle East,Asia Pacific,Airbus A350-900,124,Fuel supply disruption
2026-03-05,Finnair,FI3705,Dubai,Helsinki,UAE,Finland,Middle East,Europe,Airbus A320neo,423,Security risk — conflict zone
2026-03-05,United Airlines,UN940,Dubai,Singapore,UAE,Singapore,Middle East,Asia Pacific,Boeing 787-10 Dreamliner,141,ATC flow restrictions — congestion
2026-03-05,SAS,SA247,Karachi,Dubai,Pakistan,UAE,South Asia,Middle East,Boeing 787-10 Dreamliner,438,ATC flow restrictions — congestion
2026-03-05,South African Airways,SO4432,Frankfurt,Dubai,Germany,UAE,Europe,Middle East,Boeing 737-800,426,Security risk — conflict zone
2026-03-05,LOT Polish Airlines,LO779,London,Seoul,UK,South Korea,Europe,Asia Pacific,Airbus A330-300,386,Security risk — conflict zone
2026-03-05,Swiss International Air Lines,SW9938,Los Angeles,Doha,USA,Qatar,North America,Middle East,Boeing 737 MAX 8,242,Security risk — conflict zone
2026-03-05,Swiss International Air Lines,SW9777,London,Los Angeles,UK,USA,Europe,North America,Airbus A340-600,293,Temporary corridor suspension — safety bulletin
2026-03-05,Iran Air,IR6102,London,Sydney,UK,Australia,Europe,Asia Pacific,Airbus A320neo,206,Airport closure — military activity
2026-03-05,Air India,AI1716,Seoul,Doha,South Korea,Qatar,Asia Pacific,Middle East,Boeing 777-300ER,422,Temporary corridor suspension — safety bulletin
2026-03-05,Cargolux,CA6613,Bangkok,Dubai,Thailand,UAE,Asia Pacific,Middle East,Boeing 777-200LR,419,ATC flow restrictions — congestion
2026-03-05,easyJet,EA4924,London,Singapore,UK,Singapore,Europe,Asia Pacific,Airbus A340-600,286,Crew safety — company policy
2026-03-05,Asiana Airlines,AS5977,Dubai,Auckland,UAE,New Zealand,Middle East,Asia Pacific,Airbus A330-300,92,Airspace closure — NOTAM
2026-03-06,American Airlines,AM652,Dubai,Johannesburg,UAE,South Africa,Middle East,Africa,Boeing 787-9 Dreamliner,181,Airport closure — military activity
2026-03-06,Air Algerie,AI602,Istanbul,Tehran,Turkey,Iran,Middle East,Middle East,Boeing 737 MAX 8,176,Crew safety — company policy
2026-03-06,Air China,AI5413,Ho Chi Minh City,Doha,Vietnam,Qatar,Asia Pacific,Middle East,Boeing 737-800,90,Temporary corridor suspension — safety bulletin
2026-03-06,Japan Airlines,JA7903,Dubai,Singapore,UAE,Singapore,Middle East,Asia Pacific,Airbus A320neo,302,Crew safety — company policy
2026-03-06,Air New Zealand,AI9735,Dubai,New York,UAE,USA,Middle East,North America,Airbus A330-300,424,Temporary corridor suspension — safety bulletin
2026-03-06,UPS Airlines,UP2927,London,Tokyo,UK,Japan,Europe,Asia Pacific,Airbus A380-800,260,Temporary corridor suspension — safety bulletin
2026-03-06,Mahan Air,MA6501,Tokyo,Singapore,Japan,Singapore,Asia Pacific,Asia Pacific,Airbus A350-900,254,Fuel supply disruption
2026-03-06,Azul Brazilian Airlines,AZ9896,Riyadh,Cairo,Saudi Arabia,Egypt,Middle East,North Africa,Boeing 777-200LR,356,Airport closure — military activity
2026-03-06,Avianca,AV2599,Dubai,Tokyo,UAE,Japan,Middle East,Asia Pacific,Boeing 737 MAX 8,411,Airspace closure — NOTAM
2026-03-06,Air India,AI6372,Riyadh,Cairo,Saudi Arabia,Egypt,Middle East,North Africa,Airbus A380-800,128,ATC flow restrictions — congestion
2026-03-06,Cathay Pacific,CA4119,São Paulo,London,Brazil,UK,Latin America,Europe,Boeing 787-10 Dreamliner,438,ATC flow restrictions — congestion
2026-03-06,Kuwait Airways,KU8144,Dubai,Seoul,UAE,South Korea,Middle East,Asia Pacific,Boeing 787-10 Dreamliner,312,Government travel ban
2026-03-06,Singapore Airlines,SI2708,Addis Ababa,Dubai,Ethiopia,UAE,Africa,Middle East,Boeing 737-800,83,Insurance restriction — war zone
2026-03-06,Asiana Airlines,AS3052,Addis Ababa,Doha,Ethiopia,Qatar,Africa,Middle East,Airbus A321neo,273,Crew duty-time exceedance after long reroutes
2026-03-06,flynas,FL6126,Doha,Ho Chi Minh City,Qatar,Vietnam,Middle East,Asia Pacific,Airbus A330-300,154,ATC flow restrictions — congestion
2026-03-06,ANA,AN5164,Doha,Lisbon,Qatar,Portugal,Middle East,Europe,Boeing 737-800,426,Crew duty-time exceedance after long reroutes
2026-03-06,Korean Air,KO4303,Dubai,Amman,UAE,Jordan,Middle East,Middle East,Airbus A380-800,195,Crew safety — company policy
2026-03-06,SpiceJet,SP3651,London,Beijing,UK,China,Europe,Asia Pacific,Airbus A350-900,265,Insurance restriction — war zone
2026-03-06,Avianca,AV269,London,Riyadh,UK,Saudi Arabia,Europe,Middle East,Boeing 787-9 Dreamliner,425,Security risk — conflict zone
2026-03-06,British Airways,BR8978,Dubai,Shanghai,UAE,China,Middle East,Asia Pacific,Boeing 737 MAX 8,123,Crew duty-time exceedance after long reroutes
2026-03-06,Copa Airlines,CO7826,Mumbai,Dubai,India,UAE,South Asia,Middle East,Boeing 737-800,139,Temporary corridor suspension — safety bulletin
2026-03-06,Kuwait Airways,KU4166,Mexico City,Madrid,Mexico,Spain,Latin America,Europe,Airbus A321neo,257,ATC flow restrictions — congestion
2026-03-06,Air New Zealand,AI2352,Karachi,Dubai,Pakistan,UAE,South Asia,Middle East,Airbus A350-900,213,Temporary corridor suspension — safety bulletin
2026-03-06,Iberia,IB657,Dubai,Karachi,UAE,Pakistan,Middle East,South Asia,Airbus A320neo,143,Diplomatic advisory — do not fly
2026-03-06,Oman Air,OM6473,Frankfurt,Dubai,Germany,UAE,Europe,Middle East,Boeing 737-800,167,Security risk — conflict zone
2026-03-06,Air Arabia,AI3403,London,Muscat,UK,Oman,Europe,Middle East,Boeing 787-10 Dreamliner,167,Crew duty-time exceedance after long reroutes
2026-03-06,Iran Air,IR3157,Mumbai,Kuwait City,India,Kuwait,South Asia,Middle East,Airbus A380-800,194,Fuel supply disruption
2026-03-06,Jazeera Airways,JA5275,Dubai,Frankfurt,UAE,Germany,Middle East,Europe,Boeing 777-300ER,285,Crew safety — company policy
2026-03-07,KLM,KL5387,Dubai,Zurich,UAE,Switzerland,Middle East,Europe,Boeing 787-9 Dreamliner,164,Insurance restriction — war zone
2026-03-07,Singapore Airlines,SI4445,Helsinki,Dubai,Finland,UAE,Europe,Middle East,Airbus A380-800,242,ATC flow restrictions — congestion
2026-03-07,Kenya Airways,KE9848,Shanghai,Paris,China,France,Asia Pacific,Europe,Boeing 787-10 Dreamliner,87,Security risk — conflict zone
2026-03-07,flynas,FL4868,Shanghai,Paris,China,France,Asia Pacific,Europe,Boeing 777-300ER,267,Airspace closure — NOTAM
2026-03-07,Saudi Arabian Airlines,SA1403,São Paulo,London,Brazil,UK,Latin America,Europe,Boeing 777-200LR,360,Security risk — conflict zone
2026-03-07,Gulf Air,GU9404,Shanghai,Dubai,China,UAE,Asia Pacific,Middle East,Boeing 737-800,414,Diplomatic advisory — do not fly
2026-03-07,Etihad Airways,ET9007,London,Bahrain,UK,Bahrain,Europe,Middle East,Boeing 777-200LR,433,Crew duty-time exceedance after long reroutes
2026-03-07,Avianca,AV5883,London,Dubai,UK,UAE,Europe,Middle East,Airbus A321neo,440,Airport closure — military activity
2026-03-07,Thai Airways,TH1203,Doha,Shanghai,Qatar,China,Middle East,Asia Pacific,Boeing 737 MAX 8,84,Insurance restriction — war zone
2026-03-07,Cathay Pacific,CA1293,Beijing,Dubai,China,UAE,Asia Pacific,Middle East,Airbus A340-600,439,Temporary corridor suspension — safety bulletin
2026-03-07,Turkish Airlines,TU4524,Dubai,Santiago,UAE,Chile,Middle East,Latin America,Boeing 787-10 Dreamliner,351,Fuel supply disruption
2026-03-07,Azul Brazilian Airlines,AZ1447,Shanghai,Dubai,China,UAE,Asia Pacific,Middle East,Boeing 787-10 Dreamliner,295,Security risk — conflict zone
2026-03-07,Avianca,AV7063,São Paulo,Dubai,Brazil,UAE,Latin America,Middle East,Airbus A330-300,446,Temporary corridor suspension — safety bulletin
2026-03-07,Vietnam Airlines,VI2517,Cairo,Riyadh,Egypt,Saudi Arabia,North Africa,Middle East,Boeing 777-200LR,153,Security risk — conflict zone
2026-03-07,Finnair,FI4346,Doha,São Paulo,Qatar,Brazil,Middle East,Latin America,Boeing 777-300ER,118,Fuel supply disruption
2026-03-07,China Southern,CH692,Dubai,Auckland,UAE,New Zealand,Middle East,Asia Pacific,Boeing 737-800,348,Temporary corridor suspension — safety bulletin
2026-03-08,Qantas,QA1225,London,Muscat,UK,Oman,Europe,Middle East,Boeing 737-800,444,Temporary corridor suspension — safety bulletin
2026-03-08,Etihad Airways,ET4778,Dubai,Frankfurt,UAE,Germany,Middle East,Europe,Boeing 787-9 Dreamliner,321,Insurance restriction — war zone
2026-03-08,Ethiopian Airlines,ET2608,Warsaw,Dubai,Poland,UAE,Europe,Middle East,Boeing 777-200LR,428,ATC flow restrictions — congestion
2026-03-08,British Airways,BR3871,Paris,Shanghai,France,China,Europe,Asia Pacific,Boeing 787-10 Dreamliner,159,Airspace closure — NOTAM
2026-03-08,Air New Zealand,AI5695,Casablanca,Dubai,Morocco,UAE,Africa,Middle East,Airbus A320neo,194,Fuel supply disruption
2026-03-08,Mahan Air,MA1756,London,Dubai,UK,UAE,Europe,Middle East,Boeing 737 MAX 8,161,Security risk — conflict zone
2026-03-08,ANA,AN573,Islamabad,Dubai,Pakistan,UAE,South Asia,Middle East,Boeing 737 MAX 8,146,Government travel ban
2026-03-08,WestJet,WE9707,London,Kuwait City,UK,Kuwait,Europe,Middle East,Airbus A380-800,368,Government travel ban
2026-03-08,Vietnam Airlines,VI5564,Islamabad,Riyadh,Pakistan,Saudi Arabia,South Asia,Middle East,Airbus A350-900,296,Airport closure — military activity
