country,region,closure_start_date,closure_end_date,duration_hours,airspace_zone,reason,flights_affected
Turkey,Middle East,2026-04-04 16:17,2026-04-04 22:17,6,Night Corridor Restriction,GPS interference advisory — altitude/time restriction,138
UAE,Middle East,2026-04-10 07:18,2026-04-10 19:18,12,Night Corridor Restriction,Temporary safety closure — route deconfliction,28
Pakistan,South Asia,2026-04-13 08:54,2026-04-13 14:54,6,UIR,GPS interference advisory — altitude/time restriction,114
Saudi Arabia,Middle East,2026-04-16 13:50,2026-04-17 13:50,24,UIR,GPS interference advisory — altitude/time restriction,126
India,South Asia,2026-04-18 04:12,2026-04-18 10:12,6,Partial Restriction,GPS interference advisory — altitude/time restriction,82
Israel,Middle East,2026-04-18 23:32,2026-04-19 05:32,6,UIR,Temporary safety closure — route deconfliction,180
Pakistan,South Asia,2026-04-26 11:41,2026-04-27 05:41,18,Night Corridor Restriction,ATC flow management due corridor congestion,35
Oman,Middle East,2026-05-01 15:44,2026-05-02 15:44,24,FIR,ATC flow management due corridor congestion,134
Jordan,Middle East,2026-05-14 13:07,2026-05-16 01:07,36,UIR,Temporary safety closure — route deconfliction,155
Qatar,Middle East,2026-05-19 13:17,2026-05-20 01:17,12,Night Corridor Restriction,Military drill notice — temporary NOTAM,189
UAE,Middle East,2026-05-20 11:45,2026-05-20 17:45,6,UIR,ATC flow management due corridor congestion,18
Iraq,Middle East,2026-05-26 21:32,2026-05-27 09:32,12,Partial Restriction,ATC flow management due corridor congestion,114
Qatar,Middle East,2026-06-01 17:55,2026-06-02 05:55,12,Partial Restriction,Temporary safety closure — route deconfliction,21
Bahrain,Middle East,2026-06-03 03:20,2026-06-06 03:20,72,FIR,Re-escalation — full airspace lockdown,902
Greece,Europe,2026-06-03 04:08,2026-06-06 04:08,72,UIR,Precautionary closure — re-escalation proximity,146
Jordan,Middle East,2026-06-03 08:10,2026-06-03 20:10,12,FIR,Emergency reroute advisory — conflict re-escalation,92
Saudi Arabia,Middle East,2026-06-03 18:18,2026-06-05 18:18,48,Partial Restriction,Emergency reroute advisory — conflict re-escalation,184
Israel,Middle East,2026-06-03 19:18,2026-06-04 19:18,24,Full Airspace,Re-escalation — full airspace lockdown,1177
Iran,Middle East,2026-06-03 21:50,2026-06-05 09:50,36,UIR,GPS interference advisory — altitude/time restriction,215
Syria,Middle East,2026-06-04 02:34,2026-06-07 02:34,72,Full Airspace,Ballistic missile activity — emergency NOTAM,560
Iraq,Middle East,2026-06-04 07:12,2026-06-08 07:12,96,FIR,Re-escalation — full airspace lockdown,1099
UAE,Middle East,2026-06-04 07:24,2026-06-08 07:24,96,TFR,Re-escalation — full airspace lockdown,902
Kuwait,Middle East,2026-06-04 13:59,2026-06-07 13:59,72,FIR,Re-escalation — full airspace lockdown,621
Cyprus,Europe,2026-06-04 16:18,2026-06-07 16:18,72,UIR,Overflying restriction — missile trajectory zone,191
Iran,Middle East,2026-06-04 23:26,2026-06-14 23:26,240,TFR,Retaliatory strikes — airspace security threat,322
Israel,Middle East,2026-06-05 03:52,2026-06-07 03:52,48,FIR,Emergency closure — ceasefire collapse,521
Bahrain,Middle East,2026-06-05 12:22,2026-06-06 12:22,24,FIR,Re-escalation — full airspace lockdown,440
India,South Asia,2026-06-05 12:40,2026-06-07 12:40,48,Partial Restriction,Precautionary closure — re-escalation proximity,307
Israel,Middle East,2026-06-05 15:30,2026-06-07 15:30,48,FIR,Re-escalation — full airspace lockdown,977
Iraq,Middle East,2026-06-05 18:08,2026-06-10 18:08,120,TFR,Emergency closure — ceasefire collapse,1002
Iran,Middle East,2026-06-06 00:28,2026-06-13 00:28,168,Full Airspace,Retaliatory strikes — airspace security threat,381
Qatar,Middle East,2026-06-06 01:00,2026-06-09 01:00,72,TFR,Active combat zone — civilian flights grounded,1169
Iran,Middle East,2026-06-06 05:45,2026-06-06 23:45,18,Partial Restriction,Temporary safety closure — route deconfliction,121
Syria,Middle East,2026-06-06 09:50,2026-06-16 09:50,240,ADIZ,Ballistic missile activity — emergency NOTAM,312
Lebanon,Middle East,2026-06-06 10:59,2026-06-11 10:59,120,ADIZ,Active combat zone — civilian flights grounded,886
UAE,Middle East,2026-06-06 11:57,2026-06-09 11:57,72,Full Airspace,Retaliatory strikes — airspace security threat,821
Turkey,Middle East,2026-06-06 12:11,2026-06-07 12:11,24,UIR,Overflying restriction — missile trajectory zone,226
Kuwait,Middle East,2026-06-06 13:38,2026-06-07 13:38,24,Full Airspace,Active combat zone — civilian flights grounded,365
Syria,Middle East,2026-06-06 18:24,2026-06-11 18:24,120,ADIZ,Emergency closure — ceasefire collapse,948
UAE,Middle East,2026-06-06 19:07,2026-06-07 19:07,24,TFR,Active combat zone — civilian flights grounded,822
Pakistan,South Asia,2026-06-07 05:15,2026-06-09 05:15,48,UIR,Emergency reroute advisory — conflict re-escalation,92
Oman,Middle East,2026-06-07 17:06,2026-06-10 17:06,72,Partial Restriction,Precautionary closure — re-escalation proximity,94
Iraq,Middle East,2026-06-07 20:00,2026-06-17 20:00,240,Full Airspace,Re-escalation — full airspace lockdown,1068
Qatar,Middle East,2026-06-07 22:57,2026-06-10 22:57,72,FIR,Retaliatory strikes — airspace security threat,1099
