country,region,closure_start_date,closure_end_date,duration_hours,airspace_zone,reason,flights_affected
Jordan,Middle East,2026-03-02 19:49:00,2026-03-07 19:49:00,120,Full Airspace,Ballistic missile corridor — emergency NOTAM,540
Qatar,Middle East,2026-03-02 22:08:00,2026-03-06 22:08:00,96,TFR,Drone/UAV threat — altitude restriction,580
UAE,Middle East,2026-03-02 23:48:00,2026-03-05 23:48:00,72,UIR,Airspace security threat — missile activity,100
Bahrain,Middle East,2026-03-03 00:05:00,2026-03-06 00:05:00,72,ADIZ,Military operations — NOTAM issued,777
Egypt,North Africa,2026-03-03 00:35:00,2026-03-04 00:35:00,24,UIR,Precautionary closure — conflict proximity,69
Syria,Middle East,2026-03-03 05:26:00,2026-03-10 05:26:00,168,FIR,Military operations — NOTAM issued,344
Djibouti,East Africa,2026-03-03 07:36:00,2026-03-04 07:36:00,24,FIR,Temporary restriction — missile trajectory zone,70
Cyprus,Europe,2026-03-03 12:54:00,2026-03-04 12:54:00,24,Partial Restriction,Overflying restriction — reroute advisory,196
Saudi Arabia,Middle East,2026-03-03 14:12:00,2026-03-05 14:12:00,48,TFR,Ballistic missile corridor — emergency NOTAM,608
Lebanon,Middle East,2026-03-03 14:56:00,2026-03-05 14:56:00,48,ADIZ,Airspace security threat — missile activity,456
Eritrea,East Africa,2026-03-03 18:27:00,2026-03-04 18:27:00,24,FIR,Temporary restriction — missile trajectory zone,88
UAE,Middle East,2026-03-03 18:37:00,2026-03-08 18:37:00,120,Full Airspace,Ballistic missile corridor — emergency NOTAM,155
UAE,Middle East,2026-03-03 20:27:00,2026-03-13 20:27:00,240,Full Airspace,Active combat zone — civilian restriction,531
Greece,Europe,2026-03-03 20:32:00,2026-03-05 20:32:00,48,UIR,Precautionary closure — conflict proximity,21
Iraq,Middle East,2026-03-04 05:05:00,2026-03-11 05:05:00,168,TFR,Drone/UAV threat — altitude restriction,501
Jordan,Middle East,2026-03-04 09:13:00,2026-03-06 09:13:00,48,TFR,Active combat zone — civilian restriction,257
Turkey,Middle East,2026-03-04 09:40:00,2026-03-09 09:40:00,120,TFR,Drone/UAV threat — altitude restriction,729
Israel,Middle East,2026-03-04 20:27:00,2026-03-06 20:27:00,48,Full Airspace,Active combat zone — civilian restriction,585
Oman,Middle East,2026-03-04 20:47:00,2026-03-05 20:47:00,24,UIR,Military operations — NOTAM issued,691
Kuwait,Middle East,2026-03-04 21:45:00,2026-03-14 21:45:00,240,Full Airspace,Drone/UAV threat — altitude restriction,560
Iraq,Middle East,2026-03-04 22:18:00,2026-03-11 22:18:00,168,Full Airspace,Drone/UAV threat — altitude restriction,619
Egypt,North Africa,2026-04-01 23:41:00,2026-04-03 23:41:00,48,UIR,GPS interference advisory — altitude/time restriction,216
Turkey,Middle East,2026-04-04 16:17:00,2026-04-04 22:17:00,6,Night Corridor Restriction,GPS interference advisory — altitude/time restriction,138
UAE,Middle East,2026-04-10 07:18:00,2026-04-10 19:18:00,12,Night Corridor Restriction,Temporary safety closure — route deconfliction,28
Pakistan,South Asia,2026-04-13 08:54:00,2026-04-13 14:54:00,6,UIR,GPS interference advisory — altitude/time restriction,114
Saudi Arabia,Middle East,2026-04-16 13:50:00,2026-04-17 13:50:00,24,UIR,GPS interference advisory — altitude/time restriction,126
India,South Asia,2026-04-18 04:12:00,2026-04-18 10:12:00,6,Partial Restriction,GPS interference advisory — altitude/time restriction,82
Israel,Middle East,2026-04-18 23:32:00,2026-04-19 05:32:00,6,UIR,Temporary safety closure — route deconfliction,180
Pakistan,South Asia,2026-04-26 11:41:00,2026-04-27 05:41:00,18,Night Corridor Restriction,ATC flow management due corridor congestion,35
Oman,Middle East,2026-05-01 15:44:00,2026-05-02 15:44:00,24,FIR,ATC flow management due corridor congestion,134
Jordan,Middle East,2026-05-14 13:07:00,2026-05-16 01:07:00,36,UIR,Temporary safety closure — route deconfliction,155
Qatar,Middle East,2026-05-19 13:17:00,2026-05-20 01:17:00,12,Night Corridor Restriction,Military drill notice — temporary NOTAM,189
UAE,Middle East,2026-05-20 11:45:00,2026-05-20 17:45:00,6,UIR,ATC flow management due corridor congestion,18
Iraq,Middle East,2026-05-26 21:32:00,2026-05-27 09:32:00,12,Partial Restriction,ATC flow management due corridor congestion,114
Qatar,Middle East,2026-06-01 17:55:00,2026-06-02 05:55:00,12,Partial Restriction,Temporary safety closure — route deconfliction,21
Bahrain,Middle East,2026-06-03 03:20:00,2026-06-06 03:20:00,72,FIR,Re-escalation — full airspace lockdown,902
Greece,Europe,2026-06-03 04:08:00,2026-06-06 04:08:00,72,UIR,Precautionary closure — re-escalation proximity,146
Jordan,Middle East,2026-06-03 08:10:00,2026-06-03 20:10:00,12,FIR,Emergency reroute advisory — conflict re-escalation,92
Saudi Arabia,Middle East,2026-06-03 18:18:00,2026-06-05 18:18:00,48,Partial Restriction,Emergency reroute advisory — conflict re-escalation,184
Israel,Middle East,2026-06-03 19:18:00,2026-06-04 19:18:00,24,Full Airspace,Re-escalation — full airspace lockdown,1177
Iran,Middle East,2026-06-03 21:50:00,2026-06-05 09:50:00,36,UIR,GPS interference advisory — altitude/time restriction,215
Syria,Middle East,2026-06-04 02:34:00,2026-06-07 02:34:00,72,Full Airspace,Ballistic missile activity — emergency NOTAM,560
Iraq,Middle East,2026-06-04 07:12:00,2026-06-08 07:12:00,96,FIR,Re-escalation — full airspace lockdown,1099
UAE,Middle East,2026-06-04 07:24:00,2026-06-08 07:24:00,96,TFR,Re-escalation — full airspace lockdown,902
Kuwait,Middle East,2026-06-04 13:59:00,2026-06-07 13:59:00,72,FIR,Re-escalation — full airspace lockdown,621
Cyprus,Europe,2026-06-04 16:18:00,2026-06-07 16:18:00,72,UIR,Overflying restriction — missile trajectory zone,191
Iran,Middle East,2026-06-04 23:26:00,2026-06-14 23:26:00,240,TFR,Retaliatory strikes — airspace security threat,322
Israel,Middle East,2026-06-05 03:52:00,2026-06-07 03:52:00,48,FIR,Emergency closure — ceasefire collapse,521
Bahrain,Middle East,2026-06-05 12:22:00,2026-06-06 12:22:00,24,FIR,Re-escalation — full airspace lockdown,440
India,South Asia,2026-06-05 12:40:00,2026-06-07 12:40:00,48,Partial Restriction,Precautionary closure — re-escalation proximity,307
Israel,Middle East,2026-06-05 15:30:00,2026-06-07 15:30:00,48,FIR,Re-escalation — full airspace lockdown,977
Iraq,Middle East,2026-06-05 18:08:00,2026-06-10 18:08:00,120,TFR,Emergency closure — ceasefire collapse,1002
Iran,Middle East,2026-06-06 00:28:00,2026-06-13 00:28:00,168,Full Airspace,Retaliatory strikes — airspace security threat,381
Qatar,Middle East,2026-06-06 01:00:00,2026-06-09 01:00:00,72,TFR,Active combat zone — civilian flights grounded,1169
Iran,Middle East,2026-06-06 05:45:00,2026-06-06 23:45:00,18,Partial Restriction,Temporary safety closure — route deconfliction,121
Syria,Middle East,2026-06-06 09:50:00,2026-06-16 09:50:00,240,ADIZ,Ballistic missile activity — emergency NOTAM,312
Lebanon,Middle East,2026-06-06 10:59:00,2026-06-11 10:59:00,120,ADIZ,Active combat zone — civilian flights grounded,886
UAE,Middle East,2026-06-06 11:57:00,2026-06-09 11:57:00,72,Full Airspace,Retaliatory strikes — airspace security threat,821
Turkey,Middle East,2026-06-06 12:11:00,2026-06-07 12:11:00,24,UIR,Overflying restriction — missile trajectory zone,226
Kuwait,Middle East,2026-06-06 13:38:00,2026-06-07 13:38:00,24,Full Airspace,Active combat zone — civilian flights grounded,365
Syria,Middle East,2026-06-06 18:24:00,2026-06-11 18:24:00,120,ADIZ,Emergency closure — ceasefire collapse,948
UAE,Middle East,2026-06-06 19:07:00,2026-06-07 19:07:00,24,TFR,Active combat zone — civilian flights grounded,822
Pakistan,South Asia,2026-06-07 05:15:00,2026-06-09 05:15:00,48,UIR,Emergency reroute advisory — conflict re-escalation,92
Oman,Middle East,2026-06-07 17:06:00,2026-06-10 17:06:00,72,Partial Restriction,Precautionary closure — re-escalation proximity,94
Iraq,Middle East,2026-06-07 20:00:00,2026-06-17 20:00:00,240,Full Airspace,Re-escalation — full airspace lockdown,1068
Qatar,Middle East,2026-06-07 22:57:00,2026-06-10 22:57:00,72,FIR,Retaliatory strikes — airspace security threat,1099
