date,event_type,event_description,severity,aviation_impact,location_name,country
2026-03-30,Diplomatic,"30-day truce verification — ICAO and UN confirm full compliance, airspace normalization complete",Low,Global aviation operations return to 90% of pre-conflict levels — remaining disruptions minimal,Geneva,Switzerland
2026-03-31,Regulatory,FAA and EASA maintain elevated risk advisories for selected Middle East corridors,Medium,Night-time and route-specific restrictions remain for selected overflights,Washington / Cologne,
2026-04-02,Security,Multiple carriers report temporary GPS spoofing alerts over Gulf transition corridors,Medium,Short-term reroutes and altitude restrictions reintroduced,Persian Gulf airspace,
2026-04-05,Economic,IATA recovery bulletin projects cumulative airline losses reaching $5.8 billion,Medium,Recovery costs increase as war-risk insurance premiums stay high,Montreal,Canada
2026-04-08,Economic,UAE and Qatar hubs restore 85% of pre-conflict schedules,Low,Transit network strengthens but buffers kept for operational resilience,Dubai / Doha,
2026-04-10,Military,Iran and Iraq publish 48-hour military exercise NOTAMs over limited sectors,Medium,Temporary sector closures trigger targeted rerouting,Tehran FIR / Baghdad FIR,
2026-04-12,Regulatory,ICAO issues harmonized conflict-zone NOTAM protocol for airlines and ANSPs,Low,Coordination improves and unplanned cancellations decline,Montreal,Canada
2026-04-14,Economic,Global war-risk premium index for Middle East aviation remains 35% above baseline,Medium,Ticket prices and freight rates remain elevated,London insurance market,
2026-04-16,Energy,Strait of Hormuz commercial traffic approaches 95% of pre-conflict throughput,Low,Jet fuel supply normalizes across major Gulf hubs,Strait of Hormuz,
2026-04-18,Operational,Major European and Asian carriers restore near-full schedules with selective night restrictions,Low,Most long-haul routes normalized; contingency routings retained,Global,
2026-04-20,Diplomatic,Joint truce monitoring mechanism extended for 60 days to prevent escalation,Low,Operational confidence improves for summer scheduling,Geneva / Muscat,
2026-04-21,Situation,Latest status: stable but fragile aviation recovery with localized restrictions still possible,Low,Global aviation operating around 94-96% of pre-conflict baseline,Middle East corridor,
2026-04-23,Economic,Global airline industry reports $6.1 billion in cumulative war-related losses since conflict began,Medium,IATA urges international compensation framework — insurance premiums stay 30% above baseline,Montreal,Canada
2026-04-24,Regulatory,EASA lifts night-time restriction on select Gulf corridors; FAA maintains monitoring advisories,Low,European carriers resume full-frequency operations on Dubai and Doha routes,Cologne / Washington,
2026-04-25,Operational,Emirates restores 95% of pre-conflict schedule; Qatar Airways resumes all long-haul routes,Low,ME hub connectivity at highest level since conflict began — connecting banks normalized,Dubai / Doha,
2026-04-26,Security,NOTAM issued over eastern Iraq FIR following isolated drone activity near oil infrastructure,Medium,Airlines reroute around eastern Iraq sector — minor delays on South Asia-Europe routes,Basra,Iraq
2026-04-27,Energy,Brent crude stabilizes at $84/barrel — war risk premium in jet fuel narrows to 12% above pre-conflict,Low,Fuel cost relief begins flowing through — airlines start revising fare surcharges downward,Global markets,
2026-04-28,Diplomatic,Iran and US exchange prisoner release as confidence-building measure under truce framework,Low,Positive diplomatic signal — risk advisories for Iran overflights further relaxed,Muscat,Oman
2026-04-29,Operational,Pakistan International Airlines and Air India resume direct Tehran routes under ICAO corridors,Low,South Asian carriers rebuild pre-conflict network — PIA and Air India Tehran services restart,Islamabad / Delhi,
2026-04-30,Economic,Monthly aviation recovery index reaches 97% of pre-conflict baseline — strongest reading since Feb 2026,Low,Airlines cautiously optimistic for summer season — capacity additions announced for June,Global,
2026-05-01,Regulatory,ICAO publishes final conflict-zone NOTAM framework; Iran and Iraq designated amber-watch corridors,Low,Standardized amber-watch protocol replaces patchwork NOTAMs — operational clarity improves,Montreal,Canada
2026-05-02,Security,Isolated GPS spoofing incident near Qatar FIR prompts precautionary altitude restriction for 6 hours,Low,Short-lived restriction resolved by afternoon — no cancellations recorded,Qatar FIR,
2026-05-03,Diplomatic,Joint Iran-US technical committee meets in Geneva to discuss permanent ceasefire verification mechanism,Low,Structural progress toward long-term stability — airline community cautiously increases forward bookings,Geneva,Switzerland
2026-05-04,Situation,Current status as of 4 May 2026: Aviation recovery at 97-98% of pre-conflict baseline; residual risks monitored,Low,Near-normal operations globally; minor war-risk surcharges and selective corridor advisories remain,Global,
2026-05-07,Economic,Jet fuel prices surge to $152/barrel average — 70% above 2025 levels — as Strait of Hormuz remains effectively blocked,High,Airlines face $100 billion added fuel costs globally — ticket prices climb sharply,Global markets,
2026-05-10,Operational,Qatar Airways resumes daily flights to Dubai and Sharjah from Doha hub,Low,Phased ME network rebuild — connecting traffic slowly recovering,Dubai / Sharjah,
2026-05-12,Diplomatic,Iran proposes Strait of Hormuz reopening under new transit-fee framework in cooperation with Oman,Medium,US opposes toll proposal — maritime and cargo uncertainty persists,Muscat,Oman
2026-05-15,Economic,Fitch Ratings revises 2026 global airline sector outlook to 'deteriorating',Medium,Credit pressure on airlines increases — ME carriers face potential downgrades,Global,
2026-05-18,Energy,Strait of Hormuz commercial traffic remains 90%+ below pre-war baseline — daily vessel count at historic lows,High,Cargo and freight aviation remains severely disrupted — supply chain diversions continue,Strait of Hormuz,
2026-05-20,Operational,Qatar Airways resumes double-daily flights to Abu Dhabi; Damascus service restarts,Low,Further ME connectivity restoration — but recovery fragile amid ongoing tensions,Abu Dhabi / Damascus,
2026-05-22,Economic,Indian government approves $1.05 billion fuel price stabilization fund to support domestic carriers,Medium,ATF costs had more than doubled — Air India and IndiGo cut capacity up to 22% on some routes,New Delhi,India
2026-05-25,Regulatory,EASA issues updated Conflict Zone Information Bulletin for Middle East — recommends extreme caution,Medium,European carriers maintain reduced frequencies on ME routes — contingency routing mandatory,Cologne,Germany
2026-05-28,Operational,PIA announces Islamabad–Beijing direct service resumption from July 3 amid cautious network expansion,Low,South Asian carriers tentatively rebuild long-haul network — Gulf routes remain fluid,Islamabad,Pakistan
2026-05-30,Economic,Brent crude volatile at $97–98/barrel amid Hormuz uncertainty — war-risk insurance premiums at record highs,High,Aviation fuel crack spread hits historic $57/barrel premium over Brent crude,Global markets,
2026-06-01,Diplomatic,April 8 ceasefire framework shows signs of strain as proxy group activity increases in Lebanon and Iraq,Medium,Airlines monitoring situation closely — contingency plans reactivated,Beirut / Baghdad,
2026-06-03,Military,Ceasefire effectively collapses — Hezbollah-linked forces conduct cross-border operations from Lebanon,High,Regional security environment deteriorates rapidly — airlines issue internal risk alerts,Southern Lebanon,
2026-06-04,Regulatory,"FAA issues emergency advisory for all Middle East corridors — recommends avoidance of Iran, Iraq, Lebanon airspace",High,US carriers suspend all remaining ME overflights — European carriers follow within hours,Washington,USA
2026-06-05,Economic,IATA Director General at AGM in Rio: global airline profit forecast halved from $41 billion to $23 billion,High,ME carriers face $4.3 billion collective loss for 2026 — worst regional performance globally,Rio de Janeiro,Brazil
2026-06-06,Economic,IATA AGM: ME passenger demand expected to decline 11.4% in 2026 with 4.4% capacity contraction,High,Industry-wide fuel bill surges to $350 billion from $252 billion in 2025 — margins collapse,Rio de Janeiro,Brazil
2026-06-07,Military,Hezbollah rocket barrage on northern Israel prompts massive Israeli airstrikes on Beirut southern suburbs,Critical,Lebanon airspace closed — Beirut airport operations suspended — mass regional cancellations,Beirut / Northern Israel,
2026-06-07,Military,Iran launches ballistic missile salvo against Israeli military targets in retaliation for Beirut strikes,Critical,Iran closes all airspace — Iraq closes airspace for 72 hours — Syria suspends Damascus operations,Multiple locations,Israel
2026-06-08,Military,Israel conducts retaliatory strikes on Iranian military and nuclear infrastructure,Critical,Full Middle East airspace lockdown — Imam Khomeini and Mehrabad airports grounded indefinitely,Isfahan / Tehran,Iran
2026-06-08,Security,Multiple nations issue emergency travel advisories — India urges citizens to leave Iran immediately,Critical,Kuwait and Bahrain impose temporary airspace closures — Emirates and Etihad suspend all operations,Global,
2026-06-08,Situation,Current status as of 8 June 2026: Full re-escalation — ceasefire collapsed — aviation in crisis mode,Critical,Global aviation disrupted at levels exceeding February 2026 — recovery timeline unknown,Global,
