date,airline,flight_number,origin,destination,origin_country,destination_country,origin_region,destination_region,original_route,new_route,original_distance_km,new_distance_km,additional_distance_km,extra_fuel_cost_usd,delay_hours
2026-02-28,Iran Air,IR3879,Bahrain,Dubai,Bahrain,UAE,Middle East,Middle East,Direct Middle East overfly,Via Central Asian detour,9954,11591,1637,6916.48,2.5
2026-02-28,Iran Air,IR2421,Jakarta,Dubai,Indonesia,UAE,Asia Pacific,Middle East,Via Baghdad FIR,Via Ankara–Baku corridor,10816,11482,666,3964.6,2.3
2026-02-28,Oman Air,OM7356,Riyadh,London,Saudi Arabia,UK,Middle East,Europe,Direct Middle East overfly,Via Central Asian detour,4384,6118,1734,10539.14,1.9
2026-02-28,Malaysia Airlines,MA6965,Dubai,Cairo,UAE,Egypt,Middle East,North Africa,Via Strait of Hormuz,Via Red Sea–Suez route,5899,7106,1207,7049.43,5.5
2026-02-28,LOT Polish Airlines,LO5035,Karachi,Istanbul,Pakistan,Turkey,South Asia,Middle East,Direct Middle East overfly,Via Central Asian detour,3607,4851,1244,7105.76,5.8
2026-03-01,SAS,SA7023,Doha,Paris,Qatar,France,Middle East,Europe,Direct Tehran overfly,Via Ashgabat–Almaty route,3201,4659,1458,9802.35,5.6
2026-03-01,Mahan Air,MA7429,Dubai,Hanoi,UAE,Vietnam,Middle East,Asia Pacific,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,10705,12465,1760,6978.62,6.0
2026-03-01,ANA,AN3869,Sydney,Singapore,Australia,Singapore,Asia Pacific,Asia Pacific,Direct Middle East overfly,Via Central Asian detour,7981,10343,2362,8333.48,5.0
2026-03-01,IndiGo,IN1530,Doha,Madrid,Qatar,Spain,Middle East,Europe,Direct Middle East overfly,Via Central Asian detour,2224,4625,2401,15972.43,4.2
2026-03-01,Delta Air Lines,DE5164,Singapore,Sydney,Singapore,Australia,Asia Pacific,Asia Pacific,Direct Gulf route,Via Jordan–Egypt alternate,10483,10958,475,2391.99,1.7
2026-03-01,Turkish Airlines,TU233,London,Johannesburg,UK,South Africa,Europe,Africa,Via Baghdad FIR,Via Ankara–Baku corridor,5987,7057,1070,4751.21,2.7
2026-03-01,Southwest Airlines,SO4500,Beirut,Paris,Lebanon,France,Middle East,Europe,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,10998,13603,2605,10142.05,4.0
2026-03-01,Air India,AI5467,Lisbon,Doha,Portugal,Qatar,Europe,Middle East,Via Baghdad FIR,Via Ankara–Baku corridor,7446,8604,1158,7794.88,3.7
2026-03-01,TAP Air Portugal,TA7946,Kuwait City,Mumbai,Kuwait,India,Middle East,South Asia,Via Strait of Hormuz,Via Red Sea–Suez route,2467,3150,683,3546.55,0.8
2026-03-01,Kuwait Airways,KU2535,Sydney,Abu Dhabi,Australia,UAE,Asia Pacific,Middle East,Via Strait of Hormuz,Via Red Sea–Suez route,6228,7066,838,4376.24,4.6
2026-03-02,WestJet,WE3369,London,Johannesburg,UK,South Africa,Europe,Africa,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,3341,5404,2063,12439.77,2.4
2026-03-02,Air France,AI8171,Singapore,Sydney,Singapore,Australia,Asia Pacific,Asia Pacific,Direct Gulf route,Via Jordan–Egypt alternate,9516,10456,940,5557.95,4.0
2026-03-02,DHL Aviation,DH3374,Zurich,Dubai,Switzerland,UAE,Europe,Middle East,Direct Middle East overfly,Via Central Asian detour,10479,12306,1827,9882.86,2.5
2026-03-02,Wizz Air,WI8275,Dubai,Auckland,UAE,New Zealand,Middle East,Asia Pacific,Direct Middle East overfly,Via Central Asian detour,11083,12465,1382,9210.55,1.6
2026-03-02,Cathay Pacific,CA6029,Shanghai,Dubai,China,UAE,Asia Pacific,Middle East,Direct Middle East overfly,Via Central Asian detour,8378,9709,1331,8656.85,5.7
2026-03-02,Oman Air,OM1747,Guangzhou,Dubai,China,UAE,Asia Pacific,Middle East,Direct Gulf route,Via Jordan–Egypt alternate,4661,5741,1080,7168.25,1.2
2026-03-02,China Southern,CH7774,Dubai,Casablanca,UAE,Morocco,Middle East,Africa,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,5762,6757,995,5900.54,3.3
2026-03-02,Iran Air,IR1651,London,Nairobi,UK,Kenya,Europe,Africa,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,5002,6332,1330,5803.26,5.1
2026-03-02,Copa Airlines,CO5163,Doha,Addis Ababa,Qatar,Ethiopia,Middle East,Africa,Via Persian Gulf,Via Indian Ocean southern route,7272,9952,2680,14819.41,3.3
2026-03-02,Air New Zealand,AI2500,Shanghai,Dubai,China,UAE,Asia Pacific,Middle East,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,9383,10709,1326,4701.01,3.7
2026-03-02,Royal Air Maroc,RO7752,Doha,Toronto,Qatar,Canada,Middle East,North America,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,8958,10485,1527,6761.5,2.8
2026-03-02,DHL Aviation,DH8279,London,Tokyo,UK,Japan,Europe,Asia Pacific,Direct Tehran overfly,Via Ashgabat–Almaty route,7430,8455,1025,5448.24,5.0
2026-03-02,China Southern,CH4615,Paris,Doha,France,Qatar,Europe,Middle East,Via Persian Gulf,Via Indian Ocean southern route,3240,5837,2597,14236.8,2.0
2026-03-02,Southwest Airlines,SO6168,Helsinki,Dubai,Finland,UAE,Europe,Middle East,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,11171,13269,2098,11176.37,1.1
2026-03-02,WestJet,WE7323,Singapore,Los Angeles,Singapore,USA,Asia Pacific,North America,Direct Gulf route,Via Jordan–Egypt alternate,6416,7174,758,3889.49,0.9
2026-03-03,Delta Air Lines,DE7076,Amman,Dubai,Jordan,UAE,Middle East,Middle East,Via Baghdad FIR,Via Ankara–Baku corridor,4515,5290,775,3994.13,1.1
2026-03-03,FedEx Express,FE7576,Cairo,Dubai,Egypt,UAE,North Africa,Middle East,Direct Middle East overfly,Via Central Asian detour,3376,5035,1659,8602.57,3.4
2026-03-03,Qatar Airways,QA888,Washington,Abu Dhabi,USA,UAE,North America,Middle East,Direct Gulf route,Via Jordan–Egypt alternate,3600,4696,1096,3932.01,4.1
2026-03-03,Jazeera Airways,JA6305,Kuwait City,Mumbai,Kuwait,India,Middle East,South Asia,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,3508,5149,1641,7486.55,2.4
2026-03-03,Air Algerie,AI4361,Riyadh,London,Saudi Arabia,UK,Middle East,Europe,Via Baghdad FIR,Via Ankara–Baku corridor,3268,4381,1113,4250.33,0.5
2026-03-03,IndiGo,IN2630,Hanoi,Dubai,Vietnam,UAE,Asia Pacific,Middle East,Direct Middle East overfly,Via Central Asian detour,2200,4638,2438,10938.18,0.9
2026-03-03,Kuwait Airways,KU288,Mexico City,Madrid,Mexico,Spain,Latin America,Europe,Direct Gulf route,Via Jordan–Egypt alternate,11142,11842,700,3406.18,4.3
2026-03-03,Aeroflot,AE660,Chicago,Dubai,USA,UAE,North America,Middle East,Via Baghdad FIR,Via Ankara–Baku corridor,8926,10103,1177,5561.06,2.1
2026-03-03,Gulf Air,GU291,Riyadh,Cairo,Saudi Arabia,Egypt,Middle East,North Africa,Direct Middle East overfly,Via Central Asian detour,5855,7808,1953,9663.71,2.4
2026-03-03,Ethiopian Airlines,ET7530,Dubai,Bahrain,UAE,Bahrain,Middle East,Middle East,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,2805,4621,1816,11869.49,0.7
2026-03-03,Air Algerie,AI5793,Tehran,Istanbul,Iran,Turkey,Middle East,Middle East,Direct Middle East overfly,Via Central Asian detour,3475,4591,1116,5696.55,4.1
2026-03-03,Emirates,EM5271,Casablanca,Paris,Morocco,France,Africa,Europe,Direct Gulf route,Via Jordan–Egypt alternate,9217,10390,1173,5723.61,3.3
2026-03-03,Kuwait Airways,KU9520,Kuwait City,London,Kuwait,UK,Middle East,Europe,Direct Gulf route,Via Jordan–Egypt alternate,5377,6527,1150,5900.41,0.9
2026-03-03,Finnair,FI4373,Doha,Chicago,Qatar,USA,Middle East,North America,Via Strait of Hormuz,Via Red Sea–Suez route,5395,6047,652,3746.54,3.6
2026-03-03,Iran Air,IR1836,Karachi,Dubai,Pakistan,UAE,South Asia,Middle East,Direct Middle East overfly,Via Central Asian detour,9046,10587,1541,8537.54,1.2
2026-03-04,flynas,FL6758,Tokyo,Singapore,Japan,Singapore,Asia Pacific,Asia Pacific,Direct Gulf route,Via Jordan–Egypt alternate,9655,10450,795,3305.76,1.0
2026-03-04,Jazeera Airways,JA6859,London,Abu Dhabi,UK,UAE,Europe,Middle East,Via Strait of Hormuz,Via Red Sea–Suez route,5483,6654,1171,6051.81,5.3
2026-03-04,IndiGo,IN2439,Dubai,Mumbai,UAE,India,Middle East,South Asia,Direct Gulf route,Via Jordan–Egypt alternate,7891,8608,717,4773.39,3.0
2026-03-04,Vietnam Airlines,VI5589,Dubai,Auckland,UAE,New Zealand,Middle East,Asia Pacific,Direct Tehran overfly,Via Ashgabat–Almaty route,6339,7617,1278,8735.85,0.6
2026-03-04,Air Arabia,AI7140,Ho Chi Minh City,Doha,Vietnam,Qatar,Asia Pacific,Middle East,Via Strait of Hormuz,Via Red Sea–Suez route,6251,7051,800,4964.77,3.5
2026-03-04,Atlas Air,AT263,London,Beijing,UK,China,Europe,Asia Pacific,Direct Middle East overfly,Via Central Asian detour,10560,11626,1066,7423.15,5.1
2026-03-04,United Airlines,UN2726,Madrid,Doha,Spain,Qatar,Europe,Middle East,Via Strait of Hormuz,Via Red Sea–Suez route,10612,11345,733,4612.92,5.9
2026-03-04,Etihad Airways,ET2682,Lisbon,Doha,Portugal,Qatar,Europe,Middle East,Direct Gulf route,Via Jordan–Egypt alternate,10479,11678,1199,5556.92,2.4
2026-03-04,ANA,AN1040,Delhi,Dubai,India,UAE,South Asia,Middle East,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,2493,5117,2624,13604.02,2.8
2026-03-04,Garuda Indonesia,GA2007,London,Bahrain,UK,Bahrain,Europe,Middle East,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,2540,5210,2670,13261.83,3.4
2026-03-04,DHL Aviation,DH8372,Dubai,Santiago,UAE,Chile,Middle East,Latin America,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,5345,6411,1066,6281.22,0.8
2026-03-04,Ryanair,RY8814,Moscow,Doha,Russia,Qatar,Europe,Middle East,Via Persian Gulf,Via Indian Ocean southern route,5727,9200,3473,19785.26,0.9
2026-03-04,Air India,AI1419,Frankfurt,Beijing,Germany,China,Europe,Asia Pacific,Direct Gulf route,Via Jordan–Egypt alternate,10457,11098,641,3678.26,0.9
2026-03-04,Japan Airlines,JA5718,Santiago,Dubai,Chile,UAE,Latin America,Middle East,Direct Gulf route,Via Jordan–Egypt alternate,4616,5058,442,2611.79,5.7
2026-03-04,Thai Airways,TH1909,Dubai,Toronto,UAE,Canada,Middle East,North America,Direct Middle East overfly,Via Central Asian detour,10259,11176,917,4952.97,2.7
2026-03-04,flynas,FL3126,New York,Doha,USA,Qatar,North America,Middle East,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,4884,6334,1450,5440.31,2.5
2026-03-04,SpiceJet,SP3973,London,Beijing,UK,China,Europe,Asia Pacific,Direct Middle East overfly,Via Central Asian detour,9857,11210,1353,5511.28,3.9
2026-03-04,American Airlines,AM5967,Tehran,Istanbul,Iran,Turkey,Middle East,Middle East,Direct Gulf route,Via Jordan–Egypt alternate,2107,3012,905,4212.38,2.9
2026-03-04,Ryanair,RY6741,Sydney,London,Australia,UK,Asia Pacific,Europe,Via Strait of Hormuz,Via Red Sea–Suez route,6923,7524,601,3734.4,5.3
2026-03-05,ANA,AN6257,Dubai,Paris,UAE,France,Middle East,Europe,Direct Tehran overfly,Via Ashgabat–Almaty route,5723,6998,1275,8116.75,3.6
2026-03-05,Aeroflot,AE1866,New York,Doha,USA,Qatar,North America,Middle East,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,11598,12668,1070,5889.1,2.3
2026-03-05,SpiceJet,SP9948,Dubai,Shanghai,UAE,China,Middle East,Asia Pacific,Direct Tehran overfly,Via Ashgabat–Almaty route,11815,13498,1683,10823.74,4.7
2026-03-05,FedEx Express,FE1663,Seoul,Doha,South Korea,Qatar,Asia Pacific,Middle East,Via Baghdad FIR,Via Ankara–Baku corridor,9997,10935,938,4720.88,1.2
2026-03-05,KLM,KL134,Mumbai,Kuwait City,India,Kuwait,South Asia,Middle East,Direct Middle East overfly,Via Central Asian detour,9094,10786,1692,11600.28,1.3
2026-03-05,Copa Airlines,CO9567,Singapore,Auckland,Singapore,New Zealand,Asia Pacific,Asia Pacific,Direct Gulf route,Via Jordan–Egypt alternate,9056,10063,1007,5645.75,5.2
2026-03-05,Malaysia Airlines,MA6290,Johannesburg,London,South Africa,UK,Africa,Europe,Via Persian Gulf,Via Indian Ocean southern route,9043,12527,3484,24035.87,1.4
2026-03-05,China Southern,CH5819,Madrid,Bogotá,Spain,Colombia,Europe,Latin America,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,6573,7935,1362,8010.94,2.6
2026-03-05,South African Airways,SO8408,Karachi,Dubai,Pakistan,UAE,South Asia,Middle East,Via Strait of Hormuz,Via Red Sea–Suez route,4104,4734,630,3751.79,0.9
2026-03-05,Singapore Airlines,SI125,Moscow,Doha,Russia,Qatar,Europe,Middle East,Via Baghdad FIR,Via Ankara–Baku corridor,7036,8206,1170,4802.03,0.8
2026-03-05,Aeroflot,AE2449,Dubai,Hanoi,UAE,Vietnam,Middle East,Asia Pacific,Via Persian Gulf,Via Indian Ocean southern route,2806,5256,2450,9408.21,0.7
2026-03-05,Saudi Arabian Airlines,SA1957,Riyadh,New York,Saudi Arabia,USA,Middle East,North America,Via Persian Gulf,Via Indian Ocean southern route,4535,6247,1712,6786.14,5.9
2026-03-05,Aeromexico,AE4435,Dubai,Auckland,UAE,New Zealand,Middle East,Asia Pacific,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,10059,12367,2308,15233.75,0.7
2026-03-05,Azul Brazilian Airlines,AZ6709,Los Angeles,London,USA,UK,North America,Europe,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,7888,9927,2039,11704.11,4.0
2026-03-05,Royal Air Maroc,RO3417,Mexico City,London,Mexico,UK,Latin America,Europe,Direct Middle East overfly,Via Central Asian detour,10520,11569,1049,4473.24,0.5
2026-03-06,SpiceJet,SP9166,Singapore,Tokyo,Singapore,Japan,Asia Pacific,Asia Pacific,Via Persian Gulf,Via Indian Ocean southern route,5343,8025,2682,16169.85,1.1
2026-03-06,Emirates SkyCargo,EM3903,Bahrain,London,Bahrain,UK,Middle East,Europe,Direct Middle East overfly,Via Central Asian detour,4007,6439,2432,15857.45,3.6
2026-03-06,China Southern,CH9831,Tokyo,Singapore,Japan,Singapore,Asia Pacific,Asia Pacific,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,11671,13167,1496,10385.15,5.7
2026-03-06,Mahan Air,MA868,Karachi,Istanbul,Pakistan,Turkey,South Asia,Middle East,Direct Middle East overfly,Via Central Asian detour,11333,12338,1005,5973.29,5.6
2026-03-06,TAP Air Portugal,TA8750,Tokyo,Singapore,Japan,Singapore,Asia Pacific,Asia Pacific,Direct Gulf route,Via Jordan–Egypt alternate,9013,9459,446,2564.82,1.7
2026-03-06,Etihad Airways,ET5429,Doha,Lisbon,Qatar,Portugal,Middle East,Europe,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,3932,5549,1617,6752.71,3.4
2026-03-06,Atlas Air,AT4518,London,Seoul,UK,South Korea,Europe,Asia Pacific,Via Strait of Hormuz,Via Red Sea–Suez route,8059,8952,893,5684.1,3.7
2026-03-06,Avianca,AV5852,Dubai,Istanbul,UAE,Turkey,Middle East,Middle East,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,7088,9402,2314,16064.56,2.7
2026-03-06,Delta Air Lines,DE1056,Paris,Dubai,France,UAE,Europe,Middle East,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,9673,11635,1962,13407.51,2.8
2026-03-06,Qatar Airways,QA2575,Dubai,Toronto,UAE,Canada,Middle East,North America,Direct Gulf route,Via Jordan–Egypt alternate,9330,9781,451,1923.39,2.8
2026-03-06,South African Airways,SO6985,New York,Dubai,USA,UAE,North America,Middle East,Via Baghdad FIR,Via Ankara–Baku corridor,2316,3416,1100,6251.97,4.8
2026-03-06,Garuda Indonesia,GA2756,London,Toronto,UK,Canada,Europe,North America,Direct Gulf route,Via Jordan–Egypt alternate,10486,11458,972,5073.16,2.9
2026-03-06,Aeroflot,AE2561,Toronto,Doha,Canada,Qatar,North America,Middle East,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,10622,12589,1967,6889.82,3.3
2026-03-06,Air Arabia,AI6098,Tehran,Istanbul,Iran,Turkey,Middle East,Middle East,Direct Tehran overfly,Via Ashgabat–Almaty route,6612,7897,1285,8032.11,2.0
2026-03-06,TAP Air Portugal,TA3944,Paris,Shanghai,France,China,Europe,Asia Pacific,Direct Gulf route,Via Jordan–Egypt alternate,6828,7523,695,2712.23,4.6
2026-03-06,Royal Air Maroc,RO8940,Dubai,Mumbai,UAE,India,Middle East,South Asia,Via Strait of Hormuz,Via Red Sea–Suez route,5391,6418,1027,5399.28,3.3
2026-03-06,Royal Air Maroc,RO1760,London,Riyadh,UK,Saudi Arabia,Europe,Middle East,Via Persian Gulf,Via Indian Ocean southern route,9338,11255,1917,9422.64,5.9
2026-03-06,Gulf Air,GU5146,London,Riyadh,UK,Saudi Arabia,Europe,Middle East,Direct Tehran overfly,Via Ashgabat–Almaty route,6034,7834,1800,7055.72,5.3
2026-03-06,Azul Brazilian Airlines,AZ697,Dubai,Madrid,UAE,Spain,Middle East,Europe,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,3626,5699,2073,8472.49,1.4
2026-03-07,Southwest Airlines,SO3268,Doha,São Paulo,Qatar,Brazil,Middle East,Latin America,Direct Middle East overfly,Via Central Asian detour,4048,5891,1843,12641.6,5.2
2026-03-07,Emirates,EM6141,Riyadh,Cairo,Saudi Arabia,Egypt,Middle East,North Africa,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,10212,12182,1970,12076.37,1.9
2026-03-07,Garuda Indonesia,GA8604,Dubai,Johannesburg,UAE,South Africa,Middle East,Africa,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,7822,8625,803,4868.77,1.5
2026-03-07,Malaysia Airlines,MA5721,Beijing,Dubai,China,UAE,Asia Pacific,Middle East,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,7995,9847,1852,10523.73,5.6
2026-03-07,Gulf Air,GU8649,Riyadh,Islamabad,Saudi Arabia,Pakistan,Middle East,South Asia,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,7642,9733,2091,12752.65,0.4
2026-03-07,Lufthansa,LU2509,Madrid,Bogotá,Spain,Colombia,Europe,Latin America,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,10495,12760,2265,9437.41,1.7
2026-03-07,Cargolux,CA3408,Guangzhou,Dubai,China,UAE,Asia Pacific,Middle East,Via Baghdad FIR,Via Ankara–Baku corridor,5352,6652,1300,9047.65,2.8
2026-03-07,American Airlines,AM8604,Moscow,Doha,Russia,Qatar,Europe,Middle East,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,9494,11034,1540,5632.49,4.9
2026-03-07,Thai Airways,TH3144,Johannesburg,Dubai,South Africa,UAE,Africa,Middle East,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,11721,13704,1983,9042.14,3.9
2026-03-07,Finnair,FI8913,Karachi,Istanbul,Pakistan,Turkey,South Asia,Middle East,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,4179,5381,1202,7653.7,3.8
2026-03-07,Oman Air,OM4214,Bahrain,London,Bahrain,UK,Middle East,Europe,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,3319,4555,1236,8411.86,5.2
2026-03-07,Delta Air Lines,DE416,Dubai,Frankfurt,UAE,Germany,Middle East,Europe,Via Strait of Hormuz,Via Red Sea–Suez route,2854,3703,849,3366.64,4.7
2026-03-07,South African Airways,SO2178,London,Addis Ababa,UK,Ethiopia,Europe,Africa,Direct Middle East overfly,Via Central Asian detour,9943,11115,1172,7957.02,3.4
2026-03-07,Cathay Pacific,CA2947,Doha,New York,Qatar,USA,Middle East,North America,Via Persian Gulf,Via Indian Ocean southern route,2650,5924,3274,15133.86,4.2
2026-03-07,Aeromexico,AE5583,Doha,Shanghai,Qatar,China,Middle East,Asia Pacific,Direct Tehran overfly,Via Ashgabat–Almaty route,6862,8004,1142,5347.0,5.7
2026-03-07,Qatar Airways,QA1344,Muscat,London,Oman,UK,Middle East,Europe,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,6625,8572,1947,12630.56,2.6
2026-03-07,Air New Zealand,AI3308,Paris,Doha,France,Qatar,Europe,Middle East,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,2640,4556,1916,11177.71,4.9
2026-03-07,Gulf Air,GU4624,Dubai,New York,UAE,USA,Middle East,North America,Via Strait of Hormuz,Via Red Sea–Suez route,10493,11253,760,5137.45,3.5
2026-03-07,Korean Air,KO434,Abu Dhabi,London,UAE,UK,Middle East,Europe,Direct Tehran overfly,Via Ashgabat–Almaty route,3938,4853,915,4797.68,1.7
2026-03-07,IndiGo,IN6341,Abu Dhabi,Sydney,UAE,Australia,Middle East,Asia Pacific,Via Baghdad FIR,Via Ankara–Baku corridor,11050,12248,1198,4282.08,4.0
2026-03-08,Japan Airlines,JA9142,London,Addis Ababa,UK,Ethiopia,Europe,Africa,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,10735,12172,1437,7990.06,5.5
2026-03-08,TAP Air Portugal,TA1248,Karachi,Dubai,Pakistan,UAE,South Asia,Middle East,Direct Middle East overfly,Via Central Asian detour,3896,5794,1898,9436.19,1.0
2026-03-08,Asiana Airlines,AS8532,Dubai,Kuala Lumpur,UAE,Malaysia,Middle East,Asia Pacific,Via Baghdad FIR,Via Ankara–Baku corridor,10425,11558,1133,4454.92,2.9
2026-03-08,SAS,SA9462,Tehran,Istanbul,Iran,Turkey,Middle East,Middle East,Direct Gulf route,Via Jordan–Egypt alternate,10397,11152,755,4065.88,5.0
2026-03-08,Southwest Airlines,SO5439,Singapore,London,Singapore,UK,Asia Pacific,Europe,Via Persian Gulf,Via Indian Ocean southern route,8446,9715,1269,7398.93,0.4
2026-03-08,Qantas,QA964,Sydney,Dubai,Australia,UAE,Asia Pacific,Middle East,Direct Middle East overfly,Via Central Asian detour,5259,7285,2026,11428.64,4.4
2026-03-08,South African Airways,SO9008,Madrid,Dubai,Spain,UAE,Europe,Middle East,Via Baghdad FIR,Via Ankara–Baku corridor,10938,12003,1065,5409.49,1.6
2026-03-08,Thai Airways,TH4902,Shanghai,Paris,China,France,Asia Pacific,Europe,Direct Tehran overfly,Via Ashgabat–Almaty route,8894,10139,1245,6253.58,3.3
2026-03-08,Oman Air,OM6331,Addis Ababa,Doha,Ethiopia,Qatar,Africa,Middle East,Via Persian Gulf,Via Indian Ocean southern route,10115,12844,2729,14834.22,4.7
2026-03-08,Saudi Arabian Airlines,SA8041,Cairo,Riyadh,Egypt,Saudi Arabia,North Africa,Middle East,Via Baghdad FIR,Via Ankara–Baku corridor,4146,4823,677,4695.59,5.3
2026-03-08,Emirates,EM1108,Madrid,Dubai,Spain,UAE,Europe,Middle East,Via Baghdad FIR,Via Ankara–Baku corridor,8077,9543,1466,7641.78,4.4
2026-03-08,ANA,AN7102,Dubai,Paris,UAE,France,Middle East,Europe,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,10126,11003,877,6077.82,2.1
2026-03-08,Air France,AI9712,Dubai,Singapore,UAE,Singapore,Middle East,Asia Pacific,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,11974,13185,1211,7276.57,3.4
2026-03-08,Delta Air Lines,DE5594,Dubai,Karachi,UAE,Pakistan,Middle East,South Asia,Direct Gulf route,Via Jordan–Egypt alternate,5529,6015,486,3305.59,4.1
2026-03-08,Air India,AI7868,Istanbul,Dubai,Turkey,UAE,Middle East,Middle East,Via Baghdad FIR,Via Ankara–Baku corridor,11876,13237,1361,6709.25,2.6
2026-03-08,Air India,AI7328,Abu Dhabi,Washington,UAE,USA,Middle East,North America,Via Baghdad FIR,Via Ankara–Baku corridor,6378,6926,548,3544.26,2.8
2026-03-08,Cathay Pacific,CA1111,Nairobi,Dubai,Kenya,UAE,Africa,Middle East,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,7047,8273,1226,7115.85,1.5
2026-03-09,Cathay Pacific,CA9564,Moscow,Doha,Russia,Qatar,Europe,Middle East,Via Baghdad FIR,Via Ankara–Baku corridor,2241,2764,523,2824.57,1.8
2026-03-09,Avianca,AV6257,Dubai,Amman,UAE,Jordan,Middle East,Middle East,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,5387,6804,1417,5705.02,5.8
2026-03-09,flynas,FL4231,Dubai,New York,UAE,USA,Middle East,North America,Via Strait of Hormuz,Via Red Sea–Suez route,6001,6621,620,3160.88,4.1
2026-03-09,Cathay Pacific,CA6979,Doha,Moscow,Qatar,Russia,Middle East,Europe,Via Strait of Hormuz,Via Red Sea–Suez route,2424,3787,1363,5321.33,5.8
